Summary Level,State code,County Code,Place code,Place Type,Census Tract ,Description of area,Total Population,Total Population: Hispanic or Latino,"Total Population: White alone, not Hispanic or Latino","Total Population: Black or African American alone, not Hispanic or Latino","Total Population: American Indian and Alaska Native alone, not Hispanic or Latino","Total Population: Asian alone, not Hispanic or Latino","Total Population: Native Hawaiian and Other Pacific Islander alone, not Hispanic or Latino","Total Population: Some Other Race alone, not Hispanic or Latino","Total Population: Two or More Races, not Hispanic or Latino",Total Housing Units,Occupied Housing Units,Vacant Housing Units
140,06,037,,,208502,Census Tract 2085.02,3571,2573,185,119,1,637,9,13,34,1295,1210,85
140,06,037,,,208610,Census Tract 2086.10,4195,1979,160,134,8,1829,2,13,70,1490,1390,100
140,06,037,,,208620,Census Tract 2086.20,4660,2448,193,265,13,1637,2,14,88,1811,1730,81
140,06,037,,,208710,Census Tract 2087.10,4309,1397,224,235,2,2384,0,7,60,2009,1858,151
140,06,037,,,208720,Census Tract 2087.20,4179,3410,209,124,6,391,2,14,23,1593,1476,117
140,06,037,,,208801,Census Tract 2088.01,2995,1793,205,174,4,778,14,9,18,1322,1218,104
140,06,037,,,208802,Census Tract 2088.02,2906,1737,400,163,6,526,32,12,30,1473,1339,134
140,06,037,,,208902,Census Tract 2089.02,2339,2135,67,16,6,97,3,12,3,646,568,78
140,06,037,,,208903,Census Tract 2089.03,4019,3326,212,279,3,140,4,17,38,1353,1160,193
140,06,037,,,208904,Census Tract 2089.04,3926,3387,175,78,18,248,5,6,9,1298,1245,53
140,06,037,,,209102,Census Tract 2091.02,5267,4026,162,308,10,708,6,16,31,2016,1892,124
140,06,037,,,209103,Census Tract 2091.03,3216,3016,37,102,5,42,0,9,5,991,910,81
140,06,037,,,209104,Census Tract 2091.04,2434,2059,113,115,2,123,1,5,16,930,875,55
140,06,037,,,209200,Census Tract 2092,2785,1350,544,159,8,642,3,11,68,1558,1301,257
140,06,037,,,209300,Census Tract 2093,5021,3384,710,321,19,494,6,9,78,2210,1941,269
140,06,037,,,209401,Census Tract 2094.01,3914,2862,187,177,6,638,0,5,39,1467,1333,134
140,06,037,,,209402,Census Tract 2094.02,3728,3211,176,123,7,191,1,7,12,1298,1172,126
140,06,037,,,209403,Census Tract 2094.03,3600,2541,174,183,3,672,1,9,17,1332,1228,104
140,06,037,,,209510,Census Tract 2095.10,2692,1903,86,98,6,571,1,6,21,1065,927,138
140,06,037,,,209520,Census Tract 2095.20,2791,2340,48,71,7,311,2,3,9,1007,926,81
140,06,037,,,209810,Census Tract 2098.10,2472,1778,183,210,2,278,0,2,19,770,688,82
140,06,037,,,209820,Census Tract 2098.20,2968,2559,59,113,3,190,6,29,9,885,807,78
140,06,037,,,210010,Census Tract 2100.10,3520,2850,87,104,0,455,0,10,14,1260,1193,67
140,06,037,,,211000,Census Tract 2110,4431,299,2722,201,2,1052,2,22,131,1763,1619,144
140,06,037,,,211120,Census Tract 2111.20,5194,1433,316,205,4,3152,2,8,74,2640,2419,221
140,06,037,,,211121,Census Tract 2111.21,2351,1062,205,113,2,907,3,17,42,1005,922,83
140,06,037,,,211122,Census Tract 2111.22,3075,1445,310,213,16,1042,4,5,40,1370,1273,97
140,06,037,,,211201,Census Tract 2112.01,2645,1956,198,87,5,361,1,6,31,950,876,74
140,06,037,,,211202,Census Tract 2112.02,2645,1840,206,76,3,466,1,26,27,997,925,72
140,06,037,,,211310,Census Tract 2113.10,3846,2875,252,111,2,550,0,24,32,1348,1246,102
140,06,037,,,211320,Census Tract 2113.20,3184,1930,269,146,4,790,4,10,31,1306,1185,121
140,06,037,,,211410,Census Tract 2114.10,3095,1114,203,104,1,1642,2,2,27,1241,1178,63
140,06,037,,,211420,Census Tract 2114.20,3859,2005,357,143,5,1304,0,15,30,1402,1288,114
140,06,037,,,211500,Census Tract 2115,4355,950,1574,163,6,1561,5,11,85,1868,1757,111
140,06,037,,,211701,Census Tract 2117.01,2827,290,830,123,1,1537,1,4,41,1235,1139,96
140,06,037,,,211703,Census Tract 2117.03,4750,1832,381,238,6,2199,1,26,67,2113,1954,159
140,06,037,,,211704,Census Tract 2117.04,3016,616,428,168,1,1740,3,6,54,1798,1626,172
140,06,037,,,211802,Census Tract 2118.02,4192,1494,415,271,5,1898,7,10,92,2361,1990,371
140,06,037,,,211803,Census Tract 2118.03,3529,589,188,243,1,2450,2,9,47,1727,1602,125
140,06,037,,,211804,Census Tract 2118.04,3221,754,193,130,0,2084,1,4,55,1434,1355,79
140,06,037,,,211910,Census Tract 2119.10,4657,2859,345,275,11,1080,4,36,47,1900,1771,129
140,06,037,,,211921,Census Tract 2119.21,2474,1094,115,105,1,1129,0,4,26,1109,1045,64
140,06,037,,,211922,Census Tract 2119.22,3389,1803,181,191,7,1159,1,9,38,1433,1293,140
140,06,037,,,212101,Census Tract 2121.01,2507,740,232,164,5,1316,0,4,46,1283,1212,71
140,06,037,,,212102,Census Tract 2121.02,2446,713,324,203,3,1132,0,16,55,1387,1295,92
140,06,037,,,212202,Census Tract 2122.02,3612,2869,83,73,8,557,0,8,14,1247,1135,112
140,06,037,,,212203,Census Tract 2122.03,2679,2078,54,69,2,460,0,0,16,1122,1048,74
140,06,037,,,212204,Census Tract 2122.04,3344,2519,150,134,0,515,2,5,19,1296,1204,92
140,06,037,,,212303,Census Tract 2123.03,3326,2310,219,170,7,565,2,5,48,1325,1243,82
140,06,037,,,212304,Census Tract 2123.04,1804,1225,181,84,5,286,0,6,17,890,787,103
140,06,037,,,212305,Census Tract 2123.05,2865,2134,99,103,4,493,0,9,23,1050,960,90
140,06,037,,,212306,Census Tract 2123.06,3052,1481,118,43,1,1384,1,5,19,1263,1096,167
140,06,037,,,212410,Census Tract 2124.10,3903,1867,250,129,2,1607,2,9,37,1774,1541,233
140,06,037,,,212420,Census Tract 2124.20,3228,1791,173,132,1,1088,0,9,34,1268,1165,103
140,06,037,,,212501,Census Tract 2125.01,2165,1170,283,129,0,536,0,2,45,1010,953,57
140,06,037,,,212502,Census Tract 2125.02,2767,976,243,139,3,1356,2,2,46,1347,1235,112
140,06,037,,,212610,Census Tract 2126.10,4074,1345,330,204,1,2121,0,12,61,1862,1753,109
140,06,037,,,212620,Census Tract 2126.20,4341,1844,248,180,6,2011,0,12,40,1841,1732,109
140,06,037,,,212701,Census Tract 2127.01,2430,718,194,132,0,1346,1,3,36,833,781,52
140,06,037,,,212702,Census Tract 2127.02,3635,593,840,321,0,1798,2,3,78,1522,1401,121
140,06,037,,,212800,Census Tract 2128,4273,2271,344,377,3,1200,0,17,61,1462,1365,97
140,06,037,,,212900,Census Tract 2129,4074,2212,251,481,0,1057,0,17,56,1535,1459,76
140,06,037,,,213100,Census Tract 2131,2721,864,179,327,1,1297,1,11,41,988,926,62
140,06,037,,,213201,Census Tract 2132.01,4198,2116,112,122,4,1801,1,8,34,1627,1527,100
140,06,037,,,213202,Census Tract 2132.02,3873,2457,61,138,2,1189,0,2,24,1367,1245,122
140,06,037,,,213310,Census Tract 2133.10,3477,2334,52,41,0,1018,13,2,17,1192,1072,120
140,06,037,,,213320,Census Tract 2133.20,2481,1588,47,78,1,738,2,16,11,1059,960,99
140,06,037,,,213401,Census Tract 2134.01,4951,3795,80,50,4,985,1,6,30,1709,1558,151
140,06,037,,,213402,Census Tract 2134.02,4645,3427,188,112,10,873,0,10,25,1675,1531,144
140,06,037,,,214000,Census Tract 2140,3898,118,3560,29,5,131,1,12,42,1416,1344,72
140,06,037,,,214100,Census Tract 2141,3944,194,3377,101,1,172,1,2,96,1787,1677,110
140,06,037,,,214400,Census Tract 2144,2877,265,2286,69,4,131,5,15,102,1847,1731,116
140,06,037,,,214501,Census Tract 2145.01,2932,232,1641,145,4,812,1,5,92,1668,1553,115
140,06,037,,,214502,Census Tract 2145.02,5528,362,2388,333,3,2265,8,11,158,2872,2740,132
140,06,037,,,214503,Census Tract 2145.03,3325,209,1313,163,3,1526,4,10,97,1633,1557,76
140,06,037,,,214600,Census Tract 2146,2411,175,1886,91,2,193,2,2,60,1417,1337,80
140,06,037,,,214700,Census Tract 2147,2512,234,1984,71,3,150,1,3,66,1329,1241,88
140,06,037,,,214800,Census Tract 2148,2573,181,2126,79,6,114,2,2,63,1503,1393,110
140,06,037,,,214901,Census Tract 2149.01,3083,156,2428,88,4,239,4,16,148,2312,2029,283
140,06,037,,,214902,Census Tract 2149.02,2586,186,1928,78,1,303,0,4,86,1742,1540,202
140,06,037,,,215101,Census Tract 2151.01,2477,349,1350,248,5,429,1,16,79,1788,1619,169
140,06,037,,,215102,Census Tract 2151.02,3110,355,1974,209,6,450,1,10,105,2206,2043,163
140,06,037,,,216100,Census Tract 2161,2289,292,1001,476,3,398,3,9,107,1116,1026,90
140,06,037,,,216200,Census Tract 2162,4911,740,1906,1211,14,832,7,27,174,2644,2475,169
140,06,037,,,216300,Census Tract 2163,4526,423,2779,473,10,664,2,20,155,2502,2327,175
140,06,037,,,216401,Census Tract 2164.01,4189,323,3079,192,16,326,1,24,228,2373,2101,272
140,06,037,,,216402,Census Tract 2164.02,2615,140,2035,83,7,173,2,5,170,1532,1351,181
140,06,037,,,216700,Census Tract 2167,3709,747,1173,1269,11,312,3,31,163,1744,1607,137
140,06,037,,,216800,Census Tract 2168,3289,597,2091,288,4,197,1,22,89,1614,1473,141
140,06,037,,,216900,Census Tract 2169,5060,999,1769,1733,16,302,5,38,198,2555,2382,173
140,06,037,,,217001,Census Tract 2170.01,2654,182,2212,80,2,71,1,13,93,1075,984,91
140,06,037,,,217002,Census Tract 2170.02,4977,541,3299,478,5,421,4,36,193,2370,2212,158
140,06,037,,,217100,Census Tract 2171,5374,2036,1075,1783,20,243,3,44,170,2468,2266,202
140,06,037,,,217200,Census Tract 2172,3905,1599,675,1151,4,322,2,16,136,1669,1556,113
140,06,037,,,218110,Census Tract 2181.10,3453,1885,195,802,5,499,0,11,56,1217,1127,90
140,06,037,,,218120,Census Tract 2181.20,4530,3127,102,503,7,697,4,43,47,1466,1359,107
140,06,037,,,218210,Census Tract 2182.10,4457,3182,144,1002,2,40,6,28,53,1256,1157,99
140,06,037,,,218220,Census Tract 2182.20,4358,2271,298,1450,5,207,0,25,102,1563,1436,127
140,06,037,,,218300,Census Tract 2183,5520,2912,374,1860,12,185,4,26,147,2166,2009,157
140,06,037,,,218400,Census Tract 2184,4714,3112,194,1248,6,48,9,37,60,1494,1388,106
140,06,037,,,218500,Census Tract 2185,2869,1556,153,992,2,76,3,17,70,1038,950,88
140,06,037,,,218600,Census Tract 2186,3142,1656,186,1137,6,69,1,8,79,1104,1015,89
140,06,037,,,218701,Census Tract 2187.01,2430,1029,121,1014,9,170,7,12,68,881,824,57
140,06,037,,,218702,Census Tract 2187.02,2176,1170,75,821,2,59,0,12,37,848,744,104
140,06,037,,,218800,Census Tract 2188,2658,1657,73,667,4,218,0,6,33,937,875,62
140,06,037,,,218900,Census Tract 2189,5464,2731,281,2142,9,155,9,34,103,2145,1947,198
140,06,037,,,219010,Census Tract 2190.10,2814,1848,74,756,0,75,3,14,44,833,781,52
140,06,037,,,219020,Census Tract 2190.20,4798,3102,135,1328,15,123,3,32,60,1473,1392,81
140,06,037,,,219300,Census Tract 2193,3700,2072,93,1246,13,178,1,22,75,1442,1333,109
140,06,037,,,219500,Census Tract 2195,1737,337,63,948,4,326,2,9,48,760,717,43
140,06,037,,,219700,Census Tract 2197,4306,2744,132,1279,22,50,0,22,57,1411,1307,104
140,06,037,,,219800,Census Tract 2198,3310,2459,48,712,8,36,1,12,34,1018,952,66
140,06,037,,,219901,Census Tract 2199.01,5234,4179,115,840,6,30,2,16,46,1470,1399,71
140,06,037,,,219902,Census Tract 2199.02,4113,2971,143,848,5,66,4,14,62,1237,1188,49
140,06,037,,,220000,Census Tract 2200,5345,2645,133,2294,12,129,0,38,94,2048,1914,134
140,06,037,,,220100,Census Tract 2201,2334,669,105,1361,1,141,2,7,48,1034,1000,34
140,06,037,,,221110,Census Tract 2211.10,3565,3160,87,43,6,252,1,10,6,1148,1053,95
140,06,037,,,221120,Census Tract 2211.20,3373,3157,70,55,4,60,0,20,7,869,842,27
140,06,037,,,221210,Census Tract 2212.10,3300,2685,93,166,8,307,2,19,20,910,860,50
140,06,037,,,221220,Census Tract 2212.20,3378,2987,77,70,4,217,1,9,13,1027,972,55
140,06,037,,,221302,Census Tract 2213.02,4403,2949,210,808,8,355,3,27,43,1347,1254,93
140,06,037,,,221303,Census Tract 2213.03,2551,1958,86,195,14,282,0,4,12,799,729,70
140,06,037,,,221304,Census Tract 2213.04,3319,1796,105,753,7,611,3,10,34,1116,1050,66
140,06,037,,,221401,Census Tract 2214.01,3359,1429,294,1423,10,126,2,23,52,1366,1279,87
140,06,037,,,221402,Census Tract 2214.02,2715,1329,227,770,5,320,1,9,54,946,873,73
140,06,037,,,221500,Census Tract 2215,3507,2391,63,785,6,140,0,34,88,1244,1145,99
140,06,037,,,221601,Census Tract 2216.01,3403,2768,116,334,10,132,0,19,24,940,889,51
140,06,037,,,221602,Census Tract 2216.02,2816,2549,49,115,0,81,2,13,7,854,807,47
140,06,037,,,221710,Census Tract 2217.10,2621,2005,157,196,0,236,0,3,24,941,857,84
140,06,037,,,221810,Census Tract 2218.10,2773,1417,510,231,5,520,0,12,78,1048,986,62
140,06,037,,,221820,Census Tract 2218.20,3095,533,958,207,1,1251,3,14,128,1188,1117,71
140,06,037,,,221900,Census Tract 2219,3664,1057,975,295,1,1161,5,14,156,1098,1023,75
140,06,037,,,222001,Census Tract 2220.01,3237,2066,130,867,10,63,1,37,63,910,858,52
140,06,037,,,222002,Census Tract 2220.02,4655,3039,140,1353,2,24,5,42,50,1355,1285,70
140,06,037,,,222100,Census Tract 2221,3877,2629,132,928,2,93,7,47,39,1166,1097,69
140,06,037,,,222200,Census Tract 2222,3965,2573,225,935,5,137,1,34,55,1258,1183,75
140,06,037,,,222500,Census Tract 2225,4963,3556,74,1149,15,82,8,24,55,1347,1277,70
140,06,037,,,222600,Census Tract 2226,5631,3069,434,1358,6,588,9,37,130,1813,1694,119
140,06,037,,,222700,Census Tract 2227,3748,436,1747,156,1,1185,2,8,213,272,266,6
140,06,037,,,224010,Census Tract 2240.10,2433,1735,188,343,9,131,0,0,27,1235,1111,124
140,06,037,,,224020,Census Tract 2240.20,2789,2333,134,235,3,50,0,15,19,1007,908,99
140,06,037,,,224200,Census Tract 2242,2392,2252,44,40,0,46,0,8,2,714,683,31
140,06,037,,,224310,Census Tract 2243.10,2025,1811,87,33,1,78,0,8,7,641,586,55
140,06,037,,,224320,Census Tract 2243.20,3224,2965,45,125,2,83,0,1,3,1071,1018,53
140,06,037,,,224410,Census Tract 2244.10,3140,1832,388,129,1,740,2,16,32,1130,1041,89
140,06,037,,,224420,Census Tract 2244.20,2369,1961,125,162,6,100,1,1,13,773,742,31
140,06,037,,,224600,Census Tract 2246,3425,2960,87,300,0,38,3,15,22,811,768,43
140,06,037,,,224700,Census Tract 2247,4856,648,2673,237,3,1089,2,14,190,891,836,55
140,06,037,,,226001,Census Tract 2260.01,2068,1843,36,126,4,54,0,4,1,530,482,48
140,06,037,,,226002,Census Tract 2260.02,1604,799,364,293,6,107,0,3,32,1076,794,282
140,06,037,,,226410,Census Tract 2264.10,3491,3327,18,95,3,42,0,1,5,842,816,26
140,06,037,,,226420,Census Tract 2264.20,4906,4439,16,379,1,54,3,6,8,1199,1129,70
140,06,037,,,226700,Census Tract 2267,6170,5866,32,237,0,9,1,7,18,1324,1272,52
140,06,037,,,227010,Census Tract 2270.10,4662,4293,28,329,3,1,1,2,5,1059,1000,59
140,06,037,,,227020,Census Tract 2270.20,3599,3339,10,234,0,7,0,2,7,751,721,30
140,06,037,,,228100,Census Tract 2281,4916,4487,22,357,6,7,0,14,23,1072,1014,58
140,06,037,,,228210,Census Tract 2282.10,3806,3207,64,415,2,105,0,4,9,1010,961,49
140,06,037,,,228220,Census Tract 2282.20,4389,3809,38,495,1,4,0,27,15,932,874,58
140,06,037,,,228310,Census Tract 2283.10,4449,4108,23,288,2,4,0,7,17,1037,986,51
140,06,037,,,228320,Census Tract 2283.20,3219,2872,11,321,3,1,0,5,6,759,676,83
140,06,037,,,228410,Census Tract 2284.10,3320,3050,34,202,1,4,0,14,15,730,694,36
140,06,037,,,228420,Census Tract 2284.20,3150,2780,13,332,1,1,1,9,13,726,684,42
140,06,037,,,228500,Census Tract 2285,5220,4654,33,492,2,4,0,19,16,1128,1058,70
140,06,037,,,228600,Census Tract 2286,5049,4387,64,544,0,15,0,19,20,1114,1047,67
140,06,037,,,228710,Census Tract 2287.10,4235,3731,27,404,1,52,0,3,17,986,931,55
140,06,037,,,228720,Census Tract 2287.20,4492,3940,22,489,4,2,0,25,10,1001,934,67
140,06,037,,,228800,Census Tract 2288,5575,4910,31,509,2,85,0,17,21,1226,1163,63
140,06,037,,,228900,Census Tract 2289,3216,2770,16,315,7,93,0,3,12,776,756,20
140,06,037,,,229100,Census Tract 2291,4557,4090,26,417,1,2,0,7,14,967,906,61
140,06,037,,,229200,Census Tract 2292,4394,3589,28,710,3,36,0,8,20,1153,1051,102
140,06,037,,,229300,Census Tract 2293,5498,4824,55,581,1,11,2,3,21,1300,1207,93
140,06,037,,,229410,Census Tract 2294.10,3343,2794,32,480,4,15,0,5,13,786,729,57
140,06,037,,,229420,Census Tract 2294.20,4729,4134,14,541,6,3,1,12,18,1023,970,53
140,06,037,,,231100,Census Tract 2311,3350,2426,134,675,27,44,3,8,33,704,662,42
140,06,037,,,231210,Census Tract 2312.10,3688,2626,79,877,4,54,5,29,14,1124,1036,88
140,06,037,,,231220,Census Tract 2312.20,3824,2780,49,825,14,102,0,12,42,1142,1068,74
140,06,037,,,231300,Census Tract 2313,5348,3425,87,1617,15,60,5,64,75,1584,1473,111
140,06,037,,,231400,Census Tract 2314,4688,2967,64,1461,8,115,4,14,55,1512,1405,107
140,06,037,,,231500,Census Tract 2315,4752,2565,56,1935,5,114,0,20,57,1430,1362,68
140,06,037,,,231600,Census Tract 2316,7110,4668,104,2115,9,88,9,33,84,2097,1918,179
140,06,037,,,231710,Census Tract 2317.10,4358,3449,20,820,12,12,3,25,17,1271,1169,102
140,06,037,,,231720,Census Tract 2317.20,4966,3876,61,856,3,107,0,48,15,1504,1377,127
140,06,037,,,231800,Census Tract 2318,5303,4609,60,590,4,4,0,12,24,1390,1294,96
140,06,037,,,231900,Census Tract 2319,5968,4995,43,883,5,15,0,13,14,1438,1342,96
140,06,037,,,232110,Census Tract 2321.10,3191,2257,17,869,1,2,0,20,25,873,799,74
140,06,037,,,232120,Census Tract 2321.20,5263,4119,39,1016,19,16,3,15,36,1378,1307,71
140,06,037,,,232200,Census Tract 2322,3119,1934,43,1089,4,5,0,16,28,885,794,91
140,06,037,,,232300,Census Tract 2323,3926,2532,28,1297,8,6,0,16,39,1068,992,76
140,06,037,,,232400,Census Tract 2324,6957,3926,89,2753,10,52,2,45,80,1984,1854,130
140,06,037,,,232500,Census Tract 2325,4619,2627,28,1884,9,8,0,21,42,1438,1337,101
140,06,037,,,232600,Census Tract 2326,6288,4373,36,1741,5,8,1,65,59,1810,1677,133
140,06,037,,,232700,Census Tract 2327,5895,4336,43,1424,5,30,0,22,35,1612,1488,124
140,06,037,,,232800,Census Tract 2328,3823,3079,27,654,10,16,0,4,33,963,882,81
140,06,037,,,234000,Census Tract 2340,5335,1675,156,3199,11,101,5,42,146,2012,1914,98
140,06,037,,,234200,Census Tract 2342,2376,281,69,1680,6,245,2,9,84,1100,1055,45
140,06,037,,,234300,Census Tract 2343,4098,256,43,3646,9,28,7,11,98,2385,2205,180
140,06,037,,,234501,Census Tract 2345.01,2728,972,44,1578,5,26,5,42,56,914,854,60
140,06,037,,,234502,Census Tract 2345.02,2698,910,42,1640,4,27,0,10,65,1158,1077,81
140,06,037,,,234600,Census Tract 2346,5024,1581,80,3187,6,44,0,16,110,1738,1635,103
140,06,037,,,234700,Census Tract 2347,3888,1489,44,2239,15,18,6,28,49,1443,1344,99
140,06,037,,,234800,Census Tract 2348,3426,1455,43,1808,3,17,1,24,75,1130,1069,61
140,06,037,,,234901,Census Tract 2349.01,2999,1360,20,1553,1,8,5,12,40,1147,1060,87
140,06,037,,,234902,Census Tract 2349.02,4005,1763,71,2058,3,12,0,18,80,1606,1443,163
140,06,037,,,235100,Census Tract 2351,4520,855,191,3207,5,77,6,21,158,1718,1644,74
140,06,037,,,235201,Census Tract 2352.01,2781,864,33,1757,10,11,2,48,56,947,908,39
140,06,037,,,235202,Census Tract 2352.02,4557,1436,62,2942,7,21,5,18,66,1921,1745,176
140,06,037,,,236000,Census Tract 2360,4113,351,715,2595,5,264,3,15,165,2123,2025,98
140,06,037,,,236100,Census Tract 2361,5265,926,88,3757,12,337,2,26,117,2852,2568,284
140,06,037,,,236202,Census Tract 2362.02,6192,2934,70,2999,15,25,2,48,99,2469,2215,254
140,06,037,,,236203,Census Tract 2362.03,3417,963,30,2280,10,34,8,33,59,1453,1374,79
140,06,037,,,236204,Census Tract 2362.04,3203,1358,38,1724,7,12,1,13,50,1389,1234,155
140,06,037,,,236400,Census Tract 2364,4113,249,118,3496,5,60,2,18,165,2033,1902,131
140,06,037,,,237101,Census Tract 2371.01,3705,2530,24,1110,5,9,0,14,13,1105,978,127
140,06,037,,,237102,Census Tract 2371.02,3254,2400,25,767,1,17,2,15,27,937,858,79
140,06,037,,,237201,Census Tract 2372.01,3506,2616,33,800,4,11,0,8,34,960,885,75
140,06,037,,,237202,Census Tract 2372.02,4388,2688,36,1569,3,15,0,36,41,1325,1238,87
140,06,037,,,237300,Census Tract 2373,5262,2085,52,2988,4,23,3,36,71,1849,1730,119
140,06,037,,,237401,Census Tract 2374.01,3616,2365,33,1173,1,5,4,20,15,1060,960,100
140,06,037,,,237402,Census Tract 2374.02,3526,2108,21,1356,7,1,0,11,22,1012,968,44
140,06,037,,,237500,Census Tract 2375,2675,1986,32,623,5,0,0,11,18,791,733,58
140,06,037,,,237600,Census Tract 2376,4259,3215,36,932,6,19,0,22,29,1183,1116,67
140,06,037,,,237710,Census Tract 2377.10,3887,2801,39,981,11,19,0,14,22,1116,1003,113
140,06,037,,,237720,Census Tract 2377.20,3153,2373,15,708,2,1,6,10,38,862,778,84
140,06,037,,,237800,Census Tract 2378,4371,2084,36,2164,3,31,4,15,34,1326,1232,94
140,06,037,,,237900,Census Tract 2379,3621,741,44,2700,2,24,1,17,92,1323,1239,84
140,06,037,,,238000,Census Tract 2380,5864,1169,43,4499,9,15,9,28,92,2138,2019,119
140,06,037,,,238100,Census Tract 2381,4626,1062,44,3394,7,22,4,19,74,1741,1641,100
140,06,037,,,238200,Census Tract 2382,5267,1147,55,3903,14,18,28,21,81,2260,2111,149
140,06,037,,,238310,Census Tract 2383.10,4821,3413,47,1289,11,8,1,21,31,1381,1268,113
140,06,037,,,238320,Census Tract 2383.20,3787,2553,46,1109,7,5,0,29,38,1119,1023,96
140,06,037,,,238400,Census Tract 2384,4497,792,40,3544,14,27,1,13,66,1803,1708,95
140,06,037,,,239201,Census Tract 2392.01,3562,2902,25,598,2,7,0,4,24,902,827,75
140,06,037,,,239202,Census Tract 2392.02,4724,3901,34,759,0,2,0,11,17,1115,1022,93
140,06,037,,,239310,Census Tract 2393.10,3996,3218,22,694,10,10,1,15,26,1066,969,97
140,06,037,,,239320,Census Tract 2393.20,3444,2936,17,452,4,5,2,15,13,832,769,63
140,06,037,,,239330,Census Tract 2393.30,2879,2479,18,372,3,0,1,1,5,708,639,69
140,06,037,,,239501,Census Tract 2395.01,3454,2584,25,830,0,3,0,6,6,933,867,66
140,06,037,,,239502,Census Tract 2395.02,3372,2574,8,752,7,4,1,0,26,872,810,62
140,06,037,,,239601,Census Tract 2396.01,3755,3087,13,617,7,7,1,2,21,943,850,93
140,06,037,,,239602,Census Tract 2396.02,3313,2555,24,683,14,3,0,6,28,884,797,87
140,06,037,,,239701,Census Tract 2397.01,4261,3271,28,916,5,11,0,15,15,1065,984,81
140,06,037,,,239702,Census Tract 2397.02,3927,2693,36,1139,2,0,1,15,41,1042,946,96
140,06,037,,,239801,Census Tract 2398.01,3412,2567,14,805,2,1,2,5,16,891,814,77
140,06,037,,,239802,Census Tract 2398.02,4902,3531,21,1301,3,11,5,11,19,1318,1210,108
140,06,037,,,240010,Census Tract 2400.10,3673,2769,28,841,6,4,6,9,10,990,912,78
140,06,037,,,240020,Census Tract 2400.20,5055,3586,24,1396,2,10,0,5,32,1266,1186,80
140,06,037,,,240200,Census Tract 2402,5252,3687,57,1446,8,13,0,15,26,1402,1276,126
140,06,037,,,240300,Census Tract 2403,5691,3991,98,1505,14,13,0,34,36,1627,1477,150
140,06,037,,,240401,Census Tract 2404.01,5383,3834,30,1428,7,14,6,27,37,1437,1308,129
140,06,037,,,240402,Census Tract 2404.02,3854,2206,44,1496,12,7,5,32,52,1134,1049,85
140,06,037,,,240500,Census Tract 2405,5655,3530,36,2014,2,10,0,20,43,1587,1435,152
140,06,037,,,240600,Census Tract 2406,4932,3307,34,1532,9,9,2,10,29,1301,1190,111
140,06,037,,,240700,Census Tract 2407,6161,3875,22,2189,0,17,2,11,45,1647,1543,104
140,06,037,,,240800,Census Tract 2408,4377,2774,37,1488,15,18,1,9,35,1068,988,80
140,06,037,,,240900,Census Tract 2409,5620,4152,19,1392,3,10,4,9,31,1392,1291,101
140,06,037,,,241001,Census Tract 2410.01,4285,2642,37,1527,12,14,8,12,33,1112,1036,76
140,06,037,,,241002,Census Tract 2410.02,3606,1972,21,1546,1,8,3,10,45,969,914,55
140,06,037,,,241110,Census Tract 2411.10,3074,2155,18,867,1,1,2,12,18,764,709,55
140,06,037,,,241120,Census Tract 2411.20,4564,2969,32,1473,19,9,9,12,41,1244,1121,123
140,06,037,,,241201,Census Tract 2412.01,2898,1502,19,1341,3,5,1,13,14,876,820,56
140,06,037,,,241202,Census Tract 2412.02,4943,2769,45,2027,12,14,2,20,54,1548,1430,118
140,06,037,,,241300,Census Tract 2413,2313,1196,22,1043,2,5,4,7,34,701,664,37
140,06,037,,,241400,Census Tract 2414,3285,2059,18,1146,2,14,1,8,37,905,830,75
140,06,037,,,242000,Census Tract 2420,3938,2568,26,1301,7,6,8,1,21,1046,962,84
140,06,037,,,242100,Census Tract 2421,2714,1808,12,853,3,11,0,6,21,708,698,10
140,06,037,,,242200,Census Tract 2422,6554,4714,48,1691,15,21,0,4,61,1588,1488,100
140,06,037,,,242300,Census Tract 2423,4586,3275,25,1226,8,3,3,7,39,1162,1069,93
140,06,037,,,242600,Census Tract 2426,4409,2642,38,1683,3,7,4,8,24,1254,1182,72
140,06,037,,,242700,Census Tract 2427,5273,3814,20,1353,4,6,16,4,56,1235,1132,103
140,06,037,,,243000,Census Tract 2430,6769,5374,79,1261,11,1,2,4,37,1395,1276,119
140,06,037,,,243100,Census Tract 2431,5350,3462,95,1703,13,19,2,9,47,1403,1284,119
140,06,037,,,261101,Census Tract 2611.01,3499,175,3022,62,5,127,1,21,86,1619,1482,137
140,06,037,,,261102,Census Tract 2611.02,4362,188,3637,89,1,270,1,10,166,1889,1729,160
140,06,037,,,261200,Census Tract 2612,4341,208,3612,38,4,288,1,18,172,1888,1786,102
140,06,037,,,262100,Census Tract 2621,3586,204,2958,48,1,234,1,7,133,1496,1354,142
140,06,037,,,262200,Census Tract 2622,4675,219,3720,94,2,446,3,27,164,1960,1833,127
140,06,037,,,262301,Census Tract 2623.01,2744,321,1964,32,3,330,2,4,88,957,903,54
140,06,037,,,262302,Census Tract 2623.02,2818,95,2442,29,3,171,1,1,76,1300,1198,102
140,06,037,,,262303,Census Tract 2623.03,3290,110,2849,28,1,179,0,9,114,1332,1228,104
140,06,037,,,262400,Census Tract 2624,3233,129,2758,33,2,193,0,5,113,1342,1245,97
